RENCANA PEMERIKSAAN LEMBAGA JASA KEUANGAN (LJK) DIVISI PENGAWASAN KANTOR OJK PROVINSI KALIMANTAN SELATAN (KOBM) TAHUN 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Nama Bank / Kegiatan Pengawasan,Nama PUJK,Kota/Kab,Sektor,Jenis LJK,Jenis Kegiatan,Kuartal (Q),Bulan,Tanggal Mulai,Tanggal Selesai,Supervisor,Status Kegiatan,Kategori_PUJK,Kategori_Kota,Kategori_Sektor,Kategori_LJK,Kategori_JenisKegiatan,Kategori_Supervisor,Kategori_PUJK2,Kategori_Kota2,Kategori_Sektor2,Kategori_LJK2,Kategori_JenisKegiatan2,Kategori_Supervisor2,Kategori_PUJK3,Kategori_Kota3,Kategori_Sektor3,Kategori_LJK3,Kategori_JenisKegiatan3,Kategori_Supervisor3
11,PT Bank Perekonomian Rakyat Hulu Sungai Selatan Perseroda,PT BPR Hulu Sungai Selatan Perseroda,Kab. Hulu Sungai Selatan,Perbankan,BPR,Pemeriksaan Umum,Q1,Januari,20 Januari 2026,20 Januari 2026,Satrio Aji Nugroho,Selesai,Lainnya,Kab. Hulu Sungai Selatan,Perbankan,BPR,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Kab. Hulu Sungai Selatan,Perbankan,BPR,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Kab. Hulu Sungai Selatan,Perbankan,BPR,Pemeriksaan Umum,Satrio Aji Nugroho
12,PT Bank Perekonomian Rakyat Martapura Banjar Sejahtera Perseroda,PT BPR Martapura Banjar Sejahtera Perseroda,Kab. Banjar,Perbankan,BPR,Pemeriksaan Umum,Q1,Januari,20 Januari 2026,20 Januari 2026,Kirbani,Selesai,Lainnya,Kab. Banjar,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kab. Banjar,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kab. Banjar,Perbankan,BPR,Pemeriksaan Umum,Kirbani
13,PT Bank Perekonomian Rakyat Bank Kotabaru Perseroda,PT BPR Bank Kotabaru Perseroda,Kab. Kotabaru,,BPR,Pemeriksaan Umum,Q1,Januari,21 Januari 2026,21 Januari 2026,Satrio Aji Nugroho,Selesai,Lainnya,Kab. Kotabaru,,BPR,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Kab. Kotabaru,,BPR,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Kab. Kotabaru,,BPR,Pemeriksaan Umum,Satrio Aji Nugroho
14,PT Bank Perekonomian Rakyat Azaz Andifa,PT BPR Azaz Andifa,Kab. Batulicin,Perbankan,BPR,Pemeriksaan Umum,Q1,Januari,21 Januari 2026,21 Januari 2026,Kirbani,Selesai,Lainnya,Kab. Batulicin,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kab. Batulicin,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kab. Batulicin,Perbankan,BPR,Pemeriksaan Umum,Kirbani
15,PT Bank Perekonomian Rakyat Kredit Mandiri Kalsel,PT BPR Kredit Mandiri Kalsel,Kota Banjarbaru,Perbankan,BPR,Pemeriksaan Umum,Q1,Januari,22 Januari 2026,22 Januari 2026,Kirbani,Selesai,Lainnya,Kota Banjarbaru,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kota Banjarbaru,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kota Banjarbaru,Perbankan,BPR,Pemeriksaan Umum,Kirbani
16,PT Bank Perekonomian Rakyat Mitratama Arthabuana,PT BPR Mitratama Arthabuana,Kab. Banjar,Perbankan,BPR,Pemeriksaan Umum,Q1,Januari,22 Januari 2026,22 Januari 2026,Kirbani,Selesai,Lainnya,Kab. Banjar,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kab. Banjar,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kab. Banjar,Perbankan,BPR,Pemeriksaan Umum,Kirbani
17,PT BPR Sanggam Cipta Sejahtera Balangan,PT BPR Sanggam Cipta Sejahtera Balangan,Kab. Balangan,Perbankan,BPR,Pemeriksaan Umum,Q1,Januari,22 Januari 2026,22 Januari 2026,Kirbani,Selesai,PT BPR Sanggam Cipta Sejahtera Balangan,Kab. Balangan,Perbankan,BPR,Pemeriksaan Umum,Kirbani,PT BPR Sanggam Cipta Sejahtera Balangan,Kab. Balangan,Perbankan,BPR,Pemeriksaan Umum,Kirbani,PT BPR Sanggam Cipta Sejahtera Balangan,Kab. Balangan,Perbankan,BPR,Pemeriksaan Umum,Kirbani
18,PT BPRS Barkah Gemadana,PT BPRS Barkah Gemadana,Kab. Banjar,Perbankan,BPRS,Pemeriksaan Umum,Q1,Januari,26 Januari 2026,26 Januari 2026,Satrio Aji Nugroho,Selesai,Lainnya,Kab. Banjar,Perbankan,BPRS,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Kab. Banjar,Perbankan,BPRS,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Kab. Banjar,Perbankan,BPRS,Pemeriksaan Umum,Satrio Aji Nugroho
19,PT BPR Tabalong Bersinar,PT BPR Tabalong Bersinar,Kab. Tabalong,Perbankan,BPR,Pemeriksaan Umum,Q1,Januari,27 Januari 2026,27 Januari 2026,Satrio Aji Nugroho,Selesai,PT BPR Tabalong Bersinar,Kab. Tabalong,Perbankan,BPR,Pemeriksaan Umum,Satrio Aji Nugroho,PT BPR Tabalong Bersinar,Kab. Tabalong,Perbankan,BPR,Pemeriksaan Umum,Satrio Aji Nugroho,PT BPR Tabalong Bersinar,Kab. Tabalong,Perbankan,BPR,Pemeriksaan Umum,Satrio Aji Nugroho
20,PT Bank Perekonomian Rakyat Tapin Sejahtera Perseroda,PT BPR Tapin Sejahtera Perseroda ,Kab. Tapin,Perbankan,BPR,Pemeriksaan Umum,Q1,Januari,28 Januari 2026,28 Januari 2026,Kirbani,Selesai,Lainnya,Kab. Tapin,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kab. Tapin,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kab. Tapin,Perbankan,BPR,Pemeriksaan Umum,Kirbani
