RENCANA PEMERIKSAAN LEMBAGA JASA KEUANGAN (LJK) DIVISI PENGAWASAN KANTOR OJK PROVINSI KALIMANTAN SELATAN (KOBM) TAHUN 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Nama Bank / Kegiatan Pengawasan,Nama PUJK,Kota/Kab,Sektor,Jenis LJK,Jenis Kegiatan,Kuartal (Q),Bulan,Tanggal Mulai,Tanggal Selesai,Supervisor,Status Kegiatan,Kategori_PUJK,Kategori_Kota,Kategori_Sektor,Kategori_LJK,Kategori_JenisKegiatan,Kategori_Supervisor,Kategori_PUJK2,Kategori_Kota2,Kategori_Sektor2,Kategori_LJK2,Kategori_JenisKegiatan2,Kategori_Supervisor2,Kategori_PUJK3,Kategori_Kota3,Kategori_Sektor3,Kategori_LJK3,Kategori_JenisKegiatan3,Kategori_Supervisor3
46,LHP BPR GSM (DMZ),PT BPR Gawisabumi Mandarsari,Kota Banjarbaru,Perbankan,BPR,Penyusunan LHP,Q2,Mei,06 Mei 2026,13 Mei 2026,Satrio Aji Nugroho,Selesai,PT BPR Gawisabumi Mandarsari,Kota Banjarbaru,Perbankan,BPR,Penyusunan LHP,Satrio Aji Nugroho,PT BPR Gawisabumi Mandarsari,Kota Banjarbaru,Perbankan,BPR,Penyusunan LHP,Satrio Aji Nugroho,PT BPR Gawisabumi Mandarsari,Kota Banjarbaru,Perbankan,BPR,Penyusunan LHP,Satrio Aji Nugroho
47,Pemeriksaan Umum PT BPR Mitratama Artha Buana,PT BPR Mitratama Artha Buana,Kab. Banjar,Perbankan,BPR,Pemeriksaan Umum,Q2,Mei,04 Mei 2026,12 Mei 2026,Kirbani,Selesai,Lainnya,Kab. Banjar,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kab. Banjar,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kab. Banjar,Perbankan,BPR,Pemeriksaan Umum,Kirbani
48,Prudential Meeting RBB PT BPD Kalimantan Selatan (Realisasi RBB TW I/26 & Post Audit Monitoring),PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Prudential Meeting,Q2,Mei,12 Mei 2026,12 Mei 2026,Satrio Aji Nugroho,Selesai,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Prudential Meeting,Satrio Aji Nugroho,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Prudential Meeting,Satrio Aji Nugroho,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Prudential Meeting,Satrio Aji Nugroho
49,14 Mei 2026 s.d. 15 Mei 2026 - Cuti Bersama dan Libur Kenaikan Yesus Kristus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,LHP BPR MITRA (PRB),PT BPR Mitratama Arthabuana,Kab. Banjar,Perbankan,BPR,Penyusunan LHP,Q2,Mei,18 Mei 2026,22 Mei 2026,Kirbani,Selesai,Lainnya,Kab. Banjar,Perbankan,BPR,Penyusunan LHP,Kirbani,Lainnya,Kab. Banjar,Perbankan,BPR,Penyusunan LHP,Kirbani,Lainnya,Kab. Banjar,Perbankan,BPR,Penyusunan LHP,Kirbani
51,Pemeriksaan Umum PT BPR Tabalong Bersinar, PT BPR Tabalong Bersinar,Kab. Tabalong,Perbankan,BPR,Pemeriksaan Umum,Q2,Mei,18 Mei 2026,22 Mei 2026,Kirbani,Selesai,PT BPR Tabalong Bersinar,Kab. Tabalong,Perbankan,BPR,Pemeriksaan Umum,Kirbani,PT BPR Tabalong Bersinar,Kab. Tabalong,Perbankan,BPR,Pemeriksaan Umum,Kirbani,PT BPR Tabalong Bersinar,Kab. Tabalong,Perbankan,BPR,Pemeriksaan Umum,Kirbani
52,Pemeriksaan Umum PT BPR Sanggam Cipta Sejahtera,PT BPR Sanggam Cipta Sejahtera,Kab. Balangan,Perbankan,BPR,Pemeriksaan Umum,Q2,Mei,18 Mei 2026,22 Mei 2026,Kirbani,Selesai,Lainnya,Kab. Balangan,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kab. Balangan,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kab. Balangan,Perbankan,BPR,Pemeriksaan Umum,Kirbani
53,27 Mei 2026 s.d. 28 Mei 2026 - Cuti Bersama dan Libur Idul Adha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,LHP BPR Tabalong Bersinar (DMZ) dan BPR SCS (KZ), PT BPR Tabalong Bersinar,Kab. Tabalong,Perbankan,BPR,Penyusunan LHP,Q2,Mei,25 Mei 2026,05 Juni 2026,Satrio Aji Nugroho,Selesai,PT BPR Tabalong Bersinar,Kab. Tabalong,Perbankan,BPR,Penyusunan LHP,Satrio Aji Nugroho,PT BPR Tabalong Bersinar,Kab. Tabalong,Perbankan,BPR,Penyusunan LHP,Satrio Aji Nugroho,PT BPR Tabalong Bersinar,Kab. Tabalong,Perbankan,BPR,Penyusunan LHP,Satrio Aji Nugroho
55,Pemeriksaan Umum Gadai Mega Sentosa,PT Gadai Mega Sentosa,Kota Banjarbaru,PVML,Pegadaian,Pemeriksaan Umum,Q2,Juni,02 Juni 2026,05 Juni 2026,Satrio Aji Nugroho,Selesai,PT Gadai Mega Sentosa,Kota Banjarbaru,PVML,Lainnya,Pemeriksaan Umum,Satrio Aji Nugroho,PT Gadai Mega Sentosa,Kota Banjarbaru,PVML,Lainnya,Pemeriksaan Umum,Satrio Aji Nugroho,PT Gadai Mega Sentosa,Kota Banjarbaru,PVML,Lainnya,Pemeriksaan Umum,Satrio Aji Nugroho
56,LHP Gadai Mega Sentosa (PRB),PT Gadai Mega Sentosa,Kota Banjarbaru,PVML,Pegadaian,Penyusunan LHP,Q2,Juni,08 Juni 2026,12 Juni 2026,Satrio Aji Nugroho,Selesai,PT Gadai Mega Sentosa,Kota Banjarbaru,PVML,Lainnya,Penyusunan LHP,Satrio Aji Nugroho,PT Gadai Mega Sentosa,Kota Banjarbaru,PVML,Lainnya,Penyusunan LHP,Satrio Aji Nugroho,PT Gadai Mega Sentosa,Kota Banjarbaru,PVML,Lainnya,Penyusunan LHP,Satrio Aji Nugroho
57,Pemeriksaan Umum PT BPR Hulu Sungai Selatan,PT BPR Hulu Sungai Selatan,Kab. Hulu Sungai Selatan,Perbankan,BPR,Pemeriksaan Umum,Q2,Juni,08 Juni 2026,12 Juni 2026,Kirbani,Selesai,Lainnya,Kab. Hulu Sungai Selatan,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kab. Hulu Sungai Selatan,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kab. Hulu Sungai Selatan,Perbankan,BPR,Pemeriksaan Umum,Kirbani
58,Pemeriksaan Umum PT BPR Dana Permata Lestari,PT BPR Dana Permata Lestari,Kota Banjarmasin,Perbankan,BPR,Pemeriksaan Umum,Q2,Juni,08 Juni 2026,12 Juni 2026,Kirbani,Selesai,Lainnya,Kota Banjarmasin,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kota Banjarmasin,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kota Banjarmasin,Perbankan,BPR,Pemeriksaan Umum,Kirbani
59,LHP HSS (MIZ) dan AZAZ (FRN),Lainnya,Lainnya,Perbankan,BPR,Penyusunan LHP,Q2,Juni,15 Juni 2026,19 Juni 2026,Kirbani,Selesai,Lainnya,,Perbankan,BPR,Penyusunan LHP,Kirbani,Lainnya,,Perbankan,BPR,Penyusunan LHP,Kirbani,Lainnya,,Perbankan,BPR,Penyusunan LHP,Kirbani
60,Pemeriksaan Umum PT BPR Kotabaru,PT BPR Kotabaru,Kab. Kotabaru,Perbankan,BPR,Pemeriksaan Umum,Q2,Juni,22 Juni 2026,26 Juni 2026,Satrio Aji Nugroho,Selesai,Lainnya,Kab. Kotabaru,Perbankan,BPR,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Kab. Kotabaru,Perbankan,BPR,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Kab. Kotabaru,Perbankan,BPR,Pemeriksaan Umum,Satrio Aji Nugroho
61,Pemeriksaan Umum PT BPR Kredit Mandiri Kalsel,PT BPR Kredit Mandiri Kalsel,Kota Banjarbaru,Perbankan,BPR,Pemeriksaan Umum,Q2,Juni,22 Juni 2026,26 Juni 2026,Satrio Aji Nugroho,Selesai,Lainnya,Kota Banjarbaru,Perbankan,BPR,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Kota Banjarbaru,Perbankan,BPR,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Kota Banjarbaru,Perbankan,BPR,Pemeriksaan Umum,Satrio Aji Nugroho
62,Penyusunan KYFI dan TKS Dana Pensiun BPD Kalsel,PT BPD Kalimantan Selatan,Kota Banjarmasin,PPDP,Dana Pensiun,Pengerjaan TKS,Q2,Juni,22 Juni 2026,30 Juni 2026,Satrio Aji Nugroho,Selesai,PT BPD Kalimantan Selatan,Kota Banjarmasin,PPDP,Dana Pensiun,Pengerjaan TKS,Satrio Aji Nugroho,PT BPD Kalimantan Selatan,Kota Banjarmasin,PPDP,Dana Pensiun,Pengerjaan TKS,Satrio Aji Nugroho,PT BPD Kalimantan Selatan,Kota Banjarmasin,PPDP,Dana Pensiun,Pengerjaan TKS,Satrio Aji Nugroho
63,LHP KTB (KZ) dan KMKS (DMZ),Lainnya,Lainnya,Perbankan,,Penyusunan LHP,Q2,Juni,29 Juni 2026,03 Juli 2026,Kirbani,Selesai,Lainnya,Lainnya,Perbankan,,Penyusunan LHP,Kirbani,Lainnya,Lainnya,Perbankan,,Penyusunan LHP,Kirbani,Lainnya,Lainnya,Perbankan,,Penyusunan LHP,Kirbani
64,Pemeriksaan Umum Sarana Kalsel ventura,PT Sarana Kalsel Ventura,Kota Banjarmasin,PVML,Modal Ventura,Pemeriksaan Umum,Q2,Juni,29 Juni 2026,03 Juli 2026,Kirbani,Selesai,PT Sarana Kalsel Ventura,Kota Banjarmasin,PVML,Modal Ventura,Pemeriksaan Umum,Kirbani,PT Sarana Kalsel Ventura,Kota Banjarmasin,PVML,Modal Ventura,Pemeriksaan Umum,Kirbani,PT Sarana Kalsel Ventura,Kota Banjarmasin,PVML,Modal Ventura,Pemeriksaan Umum,Kirbani
65,LHP SKV (PRB),Lainnya,Lainnya,PVML,Modal Ventura,Penyusunan LHP,Q3,Juli,06 Juli 2026,10 Juli 2026,Satrio Aji Nugroho,Selesai,Lainnya,Lainnya,PVML,Modal Ventura,Penyusunan LHP,Satrio Aji Nugroho,Lainnya,Lainnya,PVML,Modal Ventura,Penyusunan LHP,Satrio Aji Nugroho,Lainnya,Lainnya,PVML,Modal Ventura,Penyusunan LHP,Satrio Aji Nugroho
66,Pemeriksaan Umum PT BPR Candi Agung Amuntai,PT BPR Candi Agung Amuntai,Kab. Hulu Sungai Utara,Perbankan,BPR,Pemeriksaan Umum,Q3,Juli,06 Juli 2026,10 Juli 2026,Kirbani,Selesai,Lainnya,Kab. Hulu Sungai Utara,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kab. Hulu Sungai Utara,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kab. Hulu Sungai Utara,Perbankan,BPR,Pemeriksaan Umum,Kirbani
67,Pemeriksaan Umum PT BPR Multidhana Bersama,PT BPR Multidhana Bersama,Kab. Banjar,Perbankan,BPR,Pemeriksaan Umum,Q3,Juli,06 Juli 2026,10 Juli 2026,Kirbani,Selesai,Lainnya,Kab. Banjar,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kab. Banjar,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kab. Banjar,Perbankan,BPR,Pemeriksaan Umum,Kirbani
68,LHP MULTI (KZ) dan CAA (DMZ),PT BPR Multidhana Bersama & PT BPR Candi Agung Amuntai,Kab. Banjar,Perbankan,BPR,Penyusunan LHP,Q3,Juli,13 Juli 2026,17 Juli 2026,Satrio Aji Nugroho,On Progress,Lainnya,Kab. Banjar,Perbankan,BPR,Penyusunan LHP,Satrio Aji Nugroho,Lainnya,Kab. Banjar,Perbankan,BPR,Penyusunan LHP,Satrio Aji Nugroho,Lainnya,Kab. Banjar,Perbankan,BPR,Penyusunan LHP,Satrio Aji Nugroho
69,Pemeriksaan PPE EBUS BPD Kalsel,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Pemeriksaan Umum,Q3,Juli,13 Juli 2026,17 Juli 2026,Kirbani,On Progress,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Pemeriksaan Umum,Kirbani,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Pemeriksaan Umum,Kirbani,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Pemeriksaan Umum,Kirbani
70,KYB Bank Kalsel Semester I,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,KYBFI,Q3,Juli,13 Juli 2026,17 Juli 2026,Satrio Aji Nugroho,On Progress,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,KYBFI,Satrio Aji Nugroho,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,KYBFI,Satrio Aji Nugroho,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,KYBFI,Satrio Aji Nugroho
71,LHP PPE (FRN),Lainnya,Lainnya,PVML,PPE Ebus,Penyusunan LHP,Q3,Juli,20 Juli 2026,31 Juli 2026,Satrio Aji Nugroho,Belum Mulai,Lainnya,Lainnya,PVML,PPE Ebus,Penyusunan LHP,Satrio Aji Nugroho,Lainnya,Lainnya,PVML,PPE Ebus,Penyusunan LHP,Satrio Aji Nugroho,Lainnya,Lainnya,PVML,PPE Ebus,Penyusunan LHP,Satrio Aji Nugroho
72,Pemeriksaan Umum Jamkrida Kalsel,PT Jamkrida Kalsel,Kota Banjarmasin,Perbankan,Manajer Investasi,Pemeriksaan Umum,Q3,Juli,20 Juli 2026,31 Juli 2026,Satrio Aji Nugroho,Belum Mulai,Lainnya,Kota Banjarmasin,Perbankan,Manajer Investasi,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Kota Banjarmasin,Perbankan,Manajer Investasi,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Kota Banjarmasin,Perbankan,Manajer Investasi,Pemeriksaan Umum,Satrio Aji Nugroho
73,RBBR Bank Kalsel Semester I,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Penyusunan RBBR,Q3,Agustus,03 Agustus 2026,07 Agustus 2026,Kirbani,Belum Mulai,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Penyusunan RBBR,Kirbani,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Penyusunan RBBR,Kirbani,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Penyusunan RBBR,Kirbani
74,LHP JAMKRIDA (PRB),PT Jamkrida Kalsel,Kota Banjarmasin,PVML,Jamkrida,Penyusunan LHP,Q3,Agustus,03 Agustus 2026,07 Agustus 2026,Kirbani,Belum Mulai,Lainnya,Kota Banjarmasin,PVML,Lainnya,Penyusunan LHP,Kirbani,Lainnya,Kota Banjarmasin,PVML,Lainnya,Penyusunan LHP,Kirbani,Lainnya,Kota Banjarmasin,PVML,Lainnya,Penyusunan LHP,Kirbani
75,Pengerjaan RBBR BPR dan BPD,Lainnya,Lainnya,Perbankan,Bank Umum,Penyusunan RBBR,Q3,Agustus,03 Agustus 2026,13 Agustus 2026,Kirbani,Belum Mulai,Lainnya,Lainnya,Perbankan,Bank Umum,Penyusunan RBBR,Kirbani,Lainnya,Lainnya,Perbankan,Bank Umum,Penyusunan RBBR,Kirbani,Lainnya,Lainnya,Perbankan,Bank Umum,Penyusunan RBBR,Kirbani
76,Entry Meeting Pemeriksaan Umum PT BPD Kalimantan Selatan + Kantor Pusat,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Pemeriksaan Umum,Q3,Agustus,03 Agustus 2026,07 Agustus 2026,Kirbani,Belum Mulai,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Pemeriksaan Umum,Kirbani,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Pemeriksaan Umum,Kirbani,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Pemeriksaan Umum,Kirbani
77,Pemeriksaan Kantor Cabang Luar Kota - KC A,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Q3,Agustus,10 Agustus 2026,14 Agustus 2026,Satrio Aji Nugroho,Belum Mulai,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Satrio Aji Nugroho
78,Pemeriksaan Kantor Cabang Luar Kota - KC B,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Q3,Agustus,10 Agustus 2026,14 Agustus 2026,Satrio Aji Nugroho,Belum Mulai,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Satrio Aji Nugroho
79,17 Agustus 2026 - Hari Kemerdekaan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Recycling IJK,Lainnya,Lainnya,Lainnya,Lainnya,,Q3,Agustus,18 Agustus 2026,21 Agustus 2026,Satrio Aji Nugroho,Belum Mulai,Lainnya,Lainnya,Lainnya,Lainnya,,Satrio Aji Nugroho,Lainnya,Lainnya,Lainnya,Lainnya,,Satrio Aji Nugroho,Lainnya,Lainnya,Lainnya,Lainnya,,Satrio Aji Nugroho
81,25 Agustus 2026 - Maulid Nabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Prudential Meeting 10 BPR,Lainnya,Lainnya,Perbankan,BPR,Prudential Meeting,Q3,Agustus,26 Agustus 2026,28 Agustus 2026,Satrio Aji Nugroho,Belum Mulai,Lainnya,Lainnya,Perbankan,BPR,Prudential Meeting,Satrio Aji Nugroho,Lainnya,Lainnya,Perbankan,BPR,Prudential Meeting,Satrio Aji Nugroho,Lainnya,Lainnya,Perbankan,BPR,Prudential Meeting,Satrio Aji Nugroho
83,Pemeriksaan Kantor Cabang Luar Kota - KC C,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Q3,Agustus,31 Agustus 2026,04 September 2026,Satrio Aji Nugroho,Belum Mulai,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Satrio Aji Nugroho
84,Pemeriksaan Kantor Cabang Luar Kota - KC D,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Q3,Agustus,31 Agustus 2026,04 September 2026,Satrio Aji Nugroho,Belum Mulai,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Satrio Aji Nugroho
85,Prudential Meeting RBB PT BPD Kalimantan Selatan (Realisasi RBB TWI I/26 & Post Audit Monitoring),PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Prudential Meeting,Q3,September,08 September 2026,08 September 2026,Satrio Aji Nugroho,Belum Mulai,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Prudential Meeting,Satrio Aji Nugroho,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Prudential Meeting,Satrio Aji Nugroho,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Prudential Meeting,Satrio Aji Nugroho
86,Pemeriksaan Kantor Cabang Luar Kota - KC E,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Q3,September,14 September 2026,18 September 2026,Kirbani,Belum Mulai,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Kirbani,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Kirbani,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Kirbani
87,Pemeriksaan Kantor Cabang Luar Kota - KC F,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Q3,September,14 September 2026,18 September 2026,Satrio Aji Nugroho,Belum Mulai,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Satrio Aji Nugroho
88,Pemeriksaan Kantor Cabang Luar Kota - KC G,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Q3,September,28 September 2026,02 Oktober 2026,Kirbani,Belum Mulai,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Kirbani,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Kirbani,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Kirbani
89,Pemeriksaan Kantor Cabang Luar Kota - KC H,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Q3,September,28 September 2026,02 Oktober 2026,Kirbani,Belum Mulai,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Kirbani,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Kirbani,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Kirbani
90,Pemeriksaan Kantor Pusat,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Q4,Oktober,05 Oktober 2026,16 Oktober 2026,Satrio Aji Nugroho,Belum Mulai,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Satrio Aji Nugroho
91,Pemeriksaan MI Dalam Kota,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Q4,Oktober,26 Oktober 2026,30 Oktober 2026,Satrio Aji Nugroho,Belum Mulai,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Lainnya,Lainnya,Lainnya,Pemeriksaan Umum,Satrio Aji Nugroho
92,Pemeriksaan Gadai Sangat Jaya,PT Gadai Sangat Jaya,Kota Banjarmasin,PVML,Pegadaian,Pemeriksaan Umum,Q4,November,03 November 2026,06 November 2026,Satrio Aji Nugroho,Belum Mulai,PT Gadai Sangat Jaya,Kota Banjarmasin,PVML,Lainnya,Pemeriksaan Umum,Satrio Aji Nugroho,PT Gadai Sangat Jaya,Kota Banjarmasin,PVML,Lainnya,Pemeriksaan Umum,Satrio Aji Nugroho,PT Gadai Sangat Jaya,Kota Banjarmasin,PVML,Lainnya,Pemeriksaan Umum,Satrio Aji Nugroho
93,Pemeriksaan Perusahaan Efek,PT BNI sekuritas,Kota Banjarbaru,PVML,Perusahaan Efek,Pemeriksaan Umum,Q4,November,10 November 2026,13 November 2026,Kirbani,Belum Mulai,PT BNI sekuritas,Kota Banjarbaru,PVML,Perusahaan Efek,Pemeriksaan Umum,Kirbani,PT BNI sekuritas,Kota Banjarbaru,PVML,Perusahaan Efek,Pemeriksaan Umum,Kirbani,PT BNI sekuritas,Kota Banjarbaru,PVML,Perusahaan Efek,Pemeriksaan Umum,Kirbani
94,Prudential Meeting RBB PT BPD Kalimantan Selatan (Realisasi RBB TWII I/26 & Post Audit Monitoring),PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Prudential Meeting,Q4,November,18 November 2026,18 November 2026,Kirbani,Belum Mulai,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Prudential Meeting,Kirbani,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Prudential Meeting,Kirbani,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Prudential Meeting,Kirbani
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
